mid,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
150,91,16,21,53,79,29,38,77,40,58
151,40,38,80,33,20,70,91,5,37,8
152,7,81,43,52,21,33,60,31,74,79
153,39,3,80,29,52,74,21,63,33,31
154,78,62,74,21,79,60,40,13,33,45
155,8,29,40,52,43,61,33,30,38,21
156,66,79,39,78,54,52,63,74,80,91
157,79,10,61,55,16,29,39,74,5,81
158,66,32,53,55,91,39,79,78,21,80
159,33,52,34,79,62,56,16,21,53,7
160,55,21,86,80,20,40,52,33,56,28
161,79,52,23,56,21,66,81,74,80,91
162,33,28,56,79,52,66,16,34,62,3
163,79,66,19,34,21,74,40,91,38,81
164,33,54,21,55,40,52,81,74,80,3
165,53,62,86,80,33,16,21,34,65,40
166,66,16,3,53,34,74,52,7,21,81
167,66,16,21,53,3,40,33,52,80,39
168,40,16,52,10,33,58,81,86,61,68
169,66,55,16,80,40,25,53,81,56,21
170,66,81,34,21,68,33,60,52,40,80
171,66,68,34,21,81,53,62,74,13,91
172,66,42,74,21,79,7,68,53,17,81
173,66,31,52,16,86,33,81,34,21,5
174,16,10,53,40,55,58,81,39,26,61
175,53,52,56,21,16,79,33,81,1,7
176,40,16,21,10,53,66,60,34,3,52
177,79,33,23,21,61,66,52,43,16,86
178,16,55,79,68,10,5,52,60,80,53
179,55,40,23,56,79,33,53,29,5,10
180,33,68,16,21,80,20,66,52,1,53
181,58,44,29,52,53,68,66,21,80,81
182,5,33,61,1,16,66,8,86,29,79
183,74,81,79,55,52,66,77,21,30,53
184,78,52,39,79,55,45,77,40,85,27
185,29,55,40,16,87,58,52,56,81,38
186,66,34,81,29,79,42,70,33,30,21
187,66,86,81,21,39,9,34,19,29,79
188,74,40,53,43,16,17,29,52,81,80
189,60,21,52,81,86,8,29,53,33,79
190,87,81,52,80,91,33,29,79,86,10
191,33,29,55,34,85,66,52,56,3,79
192,79,39,23,21,33,66,34,19,29,5
193,66,78,39,29,40,27,81,33,74,91
194,40,86,34,61,16,7,74,10,29,52
195,58,79,16,74,39,60,10,21,52,27
196,53,10,74,79,16,40,29,21,46,60
197,66,62,78,21,86,58,74,39,29,5
198,58,53,10,16,40,80,74,7,66,45
199,16,34,18,53,40,61,66,17,80,26
200,60,46,58,74,79,61,27,78,86,40
201,86,1,21,31,40,29,79,25,74,46
202,33,46,55,40,19,16,1,5,53,74
203,40,33,78,86,46,29,52,60,80,39
204,79,77,23,21,61,39,78,74,52,16
205,58,62,52,16,80,66,79,86,34,46
206,10,74,79,60,25,40,33,86,52,16
207,53,74,78,27,66,20,33,54,52,21
208,31,34,66,74,21,38,60,52,80,79
209,33,47,39,79,53,60,46,55,66,26
210,74,7,86,80,46,62,52,79,78,55
211,45,58,34,61,5,63,16,79,33,52
212,66,64,46,21,81,74,40,10,53,16
213,61,79,86,54,34,81,52,13,16,10
214,80,16,39,33,52,74,78,10,21,79
215,16,46,53,52,33,65,89,21,29,86
216,79,74,29,66,34,10,33,16,78,40
217,81,80,78,25,86,74,60,58,16,52
218,10,66,16,21,39,58,29,89,61,86
219,52,10,40,74,20,58,34,81,68,55
220,33,45,86,7,16,78,46,74,58,52
221,7,79,89,68,23,12,55,66,52,86
222,72,53,58,23,79,5,7,39,61,81
223,34,52,66,19,21,10,53,17,29,5
224,10,55,86,40,33,43,52,29,79,80
225,74,10,79,21,20,34,80,16,52,58
226,74,13,86,77,46,62,58,53,55,52
227,10,40,38,28,33,80,74,60,20,79
228,53,66,19,29,52,74,7,86,80,46
229,39,52,74,28,58,34,10,21,33,79
230,79,16,34,33,23,66,86,81,29,52
231,66,18,86,52,55,25,53,89,7,68
232,66,63,81,74,20,7,61,52,79,55
233,58,21,31,29,77,53,10,16,79,74
234,34,89,39,29,27,16,79,23,53,52
235,39,74,81,7,87,58,61,21,16,3
236,77,78,39,33,86,41,40,53,52,16
237,34,61,40,53,79,33,46,78,20,66
238,77,79,38,29,13,10,7,86,74,53
239,77,33,60,16,86,55,58,56,74,20
240,29,40,58,53,54,33,85,46,79,66
241,74,21,68,61,7,44,64,86,66,53
242,89,21,29,66,33,74,58,19,53,52
243,74,10,16,79,66,80,86,34,40,21
244,66,16,34,39,79,52,33,38,40,10
245,33,52,38,86,89,53,78,16,40,77
246,40,10,52,16,5,33,79,53,86,78
247,60,33,52,80,21,68,34,40,81,74
248,92,86,89,29,20,61,19,34,33,40
249,78,62,53,79,68,86,74,10,29,40
250,78,62,74,29,79,33,86,15,55,40
251,66,34,86,40,10,52,81,5,78,62
252,53,81,27,25,10,40,29,86,80,85
253,86,21,16,81,52,79,39,61,78,27
254,33,79,13,86,89,53,27,81,52,29
255,34,90,89,40,38,86,39,53,10,52
256,33,49,78,27,52,29,5,89,86,10
257,33,49,25,89,87,58,38,52,29,80
258,74,29,89,52,90,41,86,40,55,66
259,10,40,58,38,53,86,21,52,61,66
260,1,52,58,16,38,60,66,39,21,5
261,49,40,45,53,33,39,66,52,7,38
262,39,66,78,38,33,52,40,56,61,16
263,60,33,21,46,52,87,25,74,89,55
264,5,21,86,74,60,10,66,61,38,52
265,77,74,29,21,5,58,52,20,2,38
266,77,16,21,25,86,79,29,53,74,28
267,20,52,53,10,61,40,21,16,80,86
268,74,13,16,77,86,79,52,55,1,78
269,90,21,86,52,77,60,55,40,53,58
270,67,53,90,34,7,77,5,21,74,60
271,10,58,40,27,53,20,38,66,71,52
272,80,34,55,33,27,74,40,77,13,16
273,66,27,78,86,1,90,81,61,80,40
274,90,85,45,80,40,66,52,16,34,39
275,43,33,5,10,55,80,78,74,79,52
276,90,39,74,38,77,53,86,52,16,10
277,2,55,52,87,10,89,33,68,39,80
278,62,60,74,27,33,86,66,10,5,38
279,17,52,16,86,77,53,38,29,34,89
280,29,10,81,52,40,7,39,74,80,33
281,25,53,11,81,33,86,89,40,34,90
282,10,66,40,74,38,58,46,39,16,21
283,7,79,10,74,40,2,52,62,39,16
284,46,90,92,7,55,89,21,66,34,16
285,74,62,39,53,29,46,58,9,40,21
286,79,66,9,74,61,2,52,53,21,16
287,74,58,40,1,21,79,86,23,16,53
288,58,21,34,29,40,86,33,61,27,62
289,89,5,33,53,39,80,90,70,21,7
290,74,52,29,80,27,16,78,11,61,33
291,39,25,53,10,79,74,66,1,81,40
292,34,33,29,77,3,80,10,74,52,5
293,52,58,77,43,40,34,33,80,86,27
294,52,16,53,38,61,17,80,7,70,90
295,40,53,34,21,58,16,29,39,25,74
296,29,89,74,13,86,11,58,16,40,21
297,86,33,60,61,27,10,58,16,21,52
298,10,66,40,39,61,34,58,49,27,86
299,74,58,27,10,62,32,66,29,5,34
300,38,53,58,21,29,77,40,61,13,27
301,10,40,58,34,55,25,46,81,79,16
302,38,53,58,10,62,1,66,16,29,52
303,1,16,55,21,90,40,74,86,89,53
304,74,66,5,21,17,87,16,34,10,53
305,34,66,80,5,62,43,58,21,28,86
306,74,58,16,33,39,21,66,10,52,29
307,34,58,64,48,86,10,66,21,27,7
308,1,66,52,16,21,86,58,10,33,27
309,49,61,21,16,86,10,40,39,34,52
310,55,17,86,58,78,39,10,16,52,40
311,16,34,21,28,9,52,66,19,40,33
312,29,60,53,52,40,33,5,86,21,10
313,5,52,80,33,10,55,46,86,27,31
314,78,62,86,52,79,33,5,55,87,19
315,10,40,58,38,86,33,26,21,34,61
316,66,5,34,38,19,41,40,52,16,86
317,7,34,86,10,9,39,21,80,27,55
318,21,66,53,10,40,79,29,52,1,61
319,74,66,27,49,62,40,58,43,16,61
320,79,10,74,55,27,39,86,16,80,21
321,66,90,78,40,77,21,33,39,80,53
322,92,74,80,29,40,34,38,27,86,10
323,40,80,86,89,90,29,31,52,87,10
324,74,29,55,61,10,66,86,19,38,40
325,55,58,27,1,40,66,53,90,21,89
326,16,61,10,29,52,79,80,62,74,58
327,81,86,53,40,1,38,74,10,55,20
328,40,52,78,7,1,16,86,80,62,58
329,74,58,33,10,27,66,34,81,29,40
330,7,74,80,29,40,49,58,86,34,27
331,25,53,41,38,20,74,58,61,40,16
332,79,78,10,62,86,40,66,27,80,61
333,40,5,34,10,16,68,53,61,81,26
334,52,34,5,33,53,40,16,86,17,61
335,40,53,13,39,61,86,58,21,79,78
336,40,74,28,10,90,52,53,80,38,20
337,16,53,10,31,86,55,58,27,56,40
338,40,58,27,47,61,25,53,39,29,86
339,87,53,39,29,40,64,52,84,10,16
340,66,53,80,29,40,10,58,21,17,16
341,74,66,16,11,55,53,78,80,21,52
342,40,34,21,53,66,55,81,33,10,86
343,66,17,77,78,40,79,53,34,21,58
344,79,80,86,55,58,18,53,92,10,25
345,74,61,33,40,60,17,52,86,34,16
346,20,29,68,34,61,78,40,38,80,79
347,52,89,11,53,16,86,40,55,17,33
348,74,40,33,14,55,52,10,19,38,86
349,79,74,80,55,66,77,40,16,17,52
350,55,1,86,40,33,27,53,52,63,78
351,91,55,68,63,7,29,56,86,52,53
352,55,56,86,14,40,58,52,1,39,62
353,10,66,16,39,55,74,7,21,40,80
354,40,9,27,58,61,86,17,80,16,5
355,10,53,78,27,86,45,52,87,61,80
356,17,80,40,81,86,55,10,39,7,27
357,58,87,16,74,80,40,10,86,21,61
358,58,40,60,52,77,10,5,7,74,21
359,33,60,39,79,55,77,40,17,86,16
360,38,10,89,86,40,39,76,52,74,16
361,33,10,53,27,78,60,16,39,52,80
362,58,80,34,38,79,29,10,86,62,66
363,87,46,80,29,86,58,10,40,62,74
364,66,1,74,40,29,52,62,86,21,33
365,58,10,86,29,46,40,21,32,74,66
366,40,34,48,53,58,66,10,74,33,29
367,58,78,5,10,74,66,46,49,29,40
368,66,81,39,21,91,58,52,23,79,86
369,78,52,53,33,34,66,17,80,16,5
370,89,5,17,62,16,55,52,43,29,79
371,66,80,17,39,7,33,52,81,68,53
372,21,80,58,74,16,1,27,34,66,86
373,7,16,86,34,61,78,40,21,62,52
374,38,10,74,16,40,33,91,86,78,81
375,58,62,86,53,52,66,13,80,74,27
376,33,40,8,74,80,39,10,86,81,52
377,89,74,33,79,21,81,78,90,52,25
378,53,40,29,74,80,79,81,52,21,86
379,33,53,80,39,27,66,10,21,86,29
380,29,86,10,53,58,74,90,80,19,91
381,52,56,14,55,40,92,53,10,29,20
382,66,39,52,27,29,21,10,16,74,31
383,78,40,81,62,52,58,60,39,80,86
384,9,53,80,29,20,16,17,74,62,40
385,86,20,16,10,61,78,40,80,38,52
386,17,77,38,40,74,10,52,79,39,78
387,29,19,39,55,91,40,10,78,53,66
388,81,25,53,55,34,78,10,74,68,40
389,10,52,21,66,29,79,80,40,74,46
390,53,80,58,78,33,66,40,21,77,81
391,58,52,74,27,38,66,40,61,65,10
392,20,77,86,17,21,34,27,80,53,38
393,27,80,62,86,58,66,74,44,29,40
394,58,90,40,17,77,49,53,66,63,29
395,92,53,17,29,40,52,80,78,13,58
396,58,52,86,55,29,40,53,1,74,66
397,66,62,27,39,49,58,10,86,40,29
398,77,16,39,21,52,29,40,53,10,17
399,25,53,81,62,74,33,16,21,61,52
400,77,62,16,39,86,53,52,34,21,29
401,58,52,53,34,60,66,10,17,16,79
402,1,27,21,74,86,79,53,29,10,28
403,55,80,7,27,74,78,21,79,86,10
404,34,38,77,29,86,74,33,81,55,87
405,17,40,55,79,34,53,10,74,5,16
406,55,1,31,16,33,10,50,20,21,74
407,66,34,53,29,79,33,40,21,78,80
408,10,66,61,17,29,1,55,2,74,87
409,40,48,53,34,16,58,8,86,61,90
410,66,31,10,62,74,78,25,40,46,80
411,16,21,77,29,40,58,80,38,52,78
412,53,10,74,21,5,66,39,52,16,29
413,56,33,29,55,40,16,80,74,52,86
414,58,53,49,52,79,9,27,80,38,40
415,66,79,39,29,10,16,86,21,1,74
416,66,10,74,27,65,38,56,39,61,29
417,52,62,33,10,86,66,53,43,55,29
418,55,80,39,86,33,78,40,10,29,52
419,53,29,89,40,74,52,81,90,46,91
420,80,27,16,74,21,66,20,60,61,17
421,81,58,52,80,21,38,74,16,86,1
422,16,79,74,62,10,40,1,27,53,61
423,66,52,34,40,53,80,27,58,62,74
424,91,29,14,61,52,66,81,16,74,68
425,40,53,34,48,58,66,10,81,25,29
426,5,77,19,39,21,33,3,74,29,10
427,27,89,74,29,33,52,1,13,55,40
428,58,53,19,29,40,38,52,87,81,80
429,66,10,74,30,65,40,80,13,62,58
430,66,29,10,81,86,58,38,76,52,78
431,53,74,33,27,81,86,17,20,14,61
432,29,25,74,79,80,58,86,49,78,40
433,27,10,17,29,66,79,78,19,53,91
434,81,62,58,34,52,20,53,11,66,61
435,33,14,39,29,53,38,1,40,86,74
436,66,5,16,62,10,61,74,31,80,40
437,25,89,91,14,19,52,81,92,13,90
438,10,29,58,74,21,60,66,80,38,52
439,33,16,60,77,68,52,91,90,74,19
440,33,61,17,78,86,66,40,16,34,80
441,1,5,52,16,55,80,27,74,66,21
442,66,1,14,33,40,62,10,16,52,31
443,16,68,53,81,74,56,60,46,40,52
444,78,79,86,62,23,52,81,60,80,16
445,77,21,16,39,86,53,81,17,55,27
446,29,86,80,38,52,58,81,34,40,78
447,90,19,86,21,91,66,40,17,81,52
448,58,10,74,27,65,66,46,80,21,31
449,46,53,40,10,52,86,29,80,74,62
450,55,78,16,27,10,79,1,52,58,21
451,33,79,90,74,80,10,86,38,39,16
452,86,53,52,17,16,74,38,58,73,40
453,27,1,86,33,61,53,10,16,79,29
454,78,58,40,62,74,66,5,16,86,10
455,86,53,80,38,5,58,8,27,61,52
456,29,46,55,19,58,86,21,34,39,66
457,66,1,13,55,52,53,40,61,86,39
458,66,39,38,1,40,79,46,21,86,53
459,46,60,71,40,52,66,74,19,29,20
460,40,62,16,80,53,52,61,60,39,86
461,66,86,27,39,89,33,44,13,52,55
462,66,61,52,16,29,79,17,58,10,74
463,29,1,74,27,86,79,23,60,52,53
464,58,39,21,86,74,38,52,87,81,10
465,66,74,89,38,86,34,81,90,39,25
466,74,39,68,10,40,52,46,19,29,31
467,74,62,68,10,29,9,53,1,38,40
468,40,10,46,55,29,66,52,74,90,80
469,33,5,29,86,10,52,80,74,62,16
470,52,5,74,62,10,40,48,60,29,86
471,48,66,40,34,21,29,1,39,61,52
472,77,16,13,33,52,10,7,53,21,45
473,89,50,40,78,33,77,1,86,38,52
474,74,52,10,29,27,21,39,80,33,40
475,27,10,86,21,29,58,78,62,19,91
476,55,16,27,74,1,33,29,10,9,79
477,66,81,52,21,91,58,74,29,19,86
478,74,40,27,48,29,66,10,52,79,38
479,68,81,10,29,86,66,78,80,38,20
480,33,40,25,10,89,58,52,34,29,81
481,66,16,43,55,79,1,40,86,52,46
482,53,10,81,33,68,48,38,52,29,27
483,77,28,79,46,52,53,80,81,40,25
484,27,10,61,60,86,66,1,39,29,40
485,58,8,86,33,27,29,89,13,55,25
486,40,48,34,55,58,66,1,39,33,52
487,66,10,61,40,74,27,78,19,29,91
488,33,52,40,65,10,80,29,58,74,38
489,66,33,89,40,17,27,10,61,81,52
490,1,29,46,86,55,74,80,79,10,16
491,79,39,10,81,66,1,5,29,21,74
492,10,66,20,74,38,33,39,80,62,27
493,29,52,46,55,58,80,40,27,74,21
494,55,89,49,52,40,90,1,86,38,27
495,77,8,86,33,27,38,89,52,68,49
496,55,89,40,29,39,58,41,86,38,52
497,33,86,78,80,27,38,10,74,16,52
498,38,1,74,26,40,5,10,61,52,29
499,33,10,86,52,81,29,1,74,21,31
500,66,89,39,55,27,52,61,46,60,86
501,25,61,46,60,86,66,89,49,55,52
502,86,89,49,53,27,87,80,39,55,33
503,90,46,89,55,29,88,8,86,80,52
504,40,39,89,29,33,52,48,46,38,87
505,16,1,80,33,5,58,40,53,39,89
506,33,60,80,86,27,58,29,53,28,10
507,43,53,85,40,66,52,74,81,21,91
508,25,21,60,40,53,58,16,10,80,52
509,66,46,86,40,19,74,1,68,7,53
510,52,81,46,21,91,53,58,87,86,85
511,10,52,53,79,16,66,1,86,78,87
512,66,38,79,32,86,31,52,1,74,27
513,86,61,10,29,27,66,26,53,1,39
514,86,41,78,40,21,62,31,46,58,80
515,74,40,68,89,33,66,86,38,39,8
516,66,86,61,16,46,87,40,74,1,21
517,53,81,46,55,87,21,40,10,49,33
518,21,10,33,29,40,44,66,74,31,53
519,66,74,21,86,46,27,59,77,40,58
520,16,10,38,21,52,33,29,53,39,89
521,66,52,86,81,21,33,87,74,89,27
522,29,1,46,27,53,40,89,78,87,21
523,29,89,65,21,33,52,10,46,20,81
524,1,66,78,86,40,70,27,21,52,74
525,10,66,46,53,27,1,52,40,62,74
526,72,29,40,62,86,60,66,46,52,21
527,48,66,46,29,52,89,33,27,62,40
528,11,52,33,49,29,10,91,80,66,81
529,19,40,33,80,86,66,1,46,21,91
530,10,5,53,66,8,74,29,80,58,87
531,33,86,21,40,41,77,89,13,25,29
532,66,81,57,52,49,33,29,77,5,28
533,11,40,66,49,29,7,78,68,86,10
534,29,86,21,40,1,74,62,49,27,79
535,39,10,29,86,5,1,33,87,38,74
536,29,39,40,86,71,91,1,46,27,62
537,40,89,74,87,29,58,86,55,41,39
538,86,52,49,21,33,66,78,13,8,40
539,58,89,10,52,33,27,1,86,87,55
540,66,78,52,8,40,17,81,55,25,33
541,10,65,52,62,66,46,5,56,21,7
542,90,89,46,86,33,66,78,52,8,40
543,74,1,38,79,86,58,81,10,53,91
544,89,66,46,21,87,45,33,48,29,79
545,21,32,29,86,40,53,1,46,31,38
546,49,81,91,29,55,23,79,10,53,52
547,86,40,46,10,33,11,52,29,49,53
548,78,52,53,89,33,86,19,29,27,55
549,33,81,10,55,68,66,20,53,39,89
550,46,29,87,55,16,21,25,89,74,90
551,27,89,10,52,61,1,29,53,38,79
552,66,53,45,40,81,52,21,19,10,91
553,89,29,17,46,30,77,19,21,40,55
554,33,27,16,77,74,66,17,62,91,81
555,91,70,46,27,29,33,87,53,1,86
556,46,52,60,53,33,29,61,40,20,10
557,55,87,46,80,16,38,10,78,29,86
558,53,46,89,87,29,40,80,55,41,86
559,74,87,61,60,52,79,10,16,62,33
560,89,21,40,17,29,77,81,14,62,52
561,74,40,86,41,80,3,10,38,66,46
562,29,89,14,53,52,55,19,78,40,33
563,33,74,90,29,48,66,54,39,38,52
564,10,27,29,55,58,52,66,78,80,89
565,91,89,46,27,29,49,33,62,52,86
566,29,74,55,87,1,10,58,39,16,52
567,10,86,27,29,60,66,74,53,79,80
568,39,10,29,86,5,16,40,38,58,46
569,40,46,21,52,79,66,54,62,86,87
570,60,33,68,62,74,66,10,79,38,39
571,53,81,17,55,27,91,66,52,8,83
572,66,81,57,52,49,9,53,37,74,29
573,28,86,80,33,39,49,62,34,66,52
574,81,77,29,74,27,52,1,17,86,21
575,74,41,38,86,40,27,81,13,61,33
576,91,52,66,8,78,89,16,27,39,33
577,91,83,52,8,40,25,70,89,62,86
578,66,39,33,29,8,21,68,53,52,89
579,27,62,10,89,68,28,33,16,74,46
580,25,17,89,74,53,7,80,34,55,52
581,86,16,40,60,66,21,46,89,33,52
582,66,81,57,52,49,10,21,16,53,61
583,27,29,86,10,58,52,1,66,61,39
584,10,78,5,21,27,91,29,70,52,79
585,66,86,21,77,62,46,80,52,55,58
586,52,29,87,32,40,33,74,10,27,62
587,91,40,74,89,27,29,1,21,86,52
588,74,62,40,60,29,10,66,52,81,16
589,52,74,62,33,29,10,40,39,66,61
590,74,80,41,40,55,33,10,86,27,61
591,74,61,52,81,68,86,16,21,77,40
592,74,32,40,38,86,10,81,87,29,61
593,39,48,55,29,27,33,86,60,87,10
594,33,1,13,27,55,16,86,52,80,39
595,77,29,53,5,46,87,89,14,62,52
596,20,54,55,87,39,86,19,29,27,46
597,17,89,38,27,40,74,33,79,10,53
598,58,77,27,13,33,39,52,20,16,76
599,16,40,46,21,10,86,81,14,61,27
600,81,40,21,86,10,46,58,29,53,16
601,29,11,46,89,52,40,33,80,10,39
602,86,1,21,40,16,74,10,29,38,5
603,79,10,1,27,29,87,62,81,89,52
604,31,21,46,89,91,52,33,47,10,16
605,16,86,21,79,1,38,8,33,74,52
606,58,52,46,29,21,10,40,54,62,66
607,5,16,10,81,52,21,29,61,39,66
608,21,10,38,66,5,52,62,74,89,16
609,74,33,40,41,55,87,10,21,89,79
610,78,10,66,55,27,52,77,16,39,21
611,86,21,8,78,58,46,19,91,29,52
612,17,53,19,52,29,74,60,21,66,40
613,86,19,29,91,33,1,40,13,53,50
614,86,1,40,29,21,91,62,13,19,66
615,39,10,33,16,86,91,89,29,19,40
616,40,38,74,10,33,52,41,78,29,27
617,74,16,40,10,87,58,1,21,86,79
618,33,1,86,39,40,79,32,21,10,52
619,77,10,74,51,91,46,53,87,60,33
620,66,5,1,74,21,58,52,61,29,10
621,66,5,80,81,46,40,86,78,10,62
622,78,61,52,46,40,53,35,90,27,70
623,58,86,80,55,27,77,30,74,39,33
624,52,21,81,56,91,12,86,27,87,55
625,33,65,8,40,55,52,63,29,20,46
626,80,79,52,27,81,58,65,31,1,63
627,11,5,66,65,33,52,58,16,17,46
628,53,54,74,20,40,66,8,14,52,62
629,80,8,21,27,55,74,78,65,58,3
630,5,66,54,55,46,74,40,80,39,16
631,39,29,27,89,38,40,66,21,8,46
